Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	HOST	Instrument	Lat_Lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	Sample_Prefix	SRA Study	create_date	version
SRR5098331	AMPLICON	600	1200	PRJNA356769	SAMN06126856	Metagenome or environmental	79913	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"fastq,run.zq"	"s3,gs,ncbi"	"gs.US,ncbi.public,s3.us-east-1"	SRX2415116	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	441369442_2_ITS2-00000000-APKA1.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	441369442_2_ITS2	441369442_2_ITS2	SRP094940		
SRR5098332	AMPLICON	600	4792200	PRJNA356769	SAMN06126764	Metagenome or environmental	2607214	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"sra,fastq,run.zq"	"s3,ncbi,gs"	"s3.us-east-1,ncbi.public,gs.US"	SRX2415117	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	160947100_2_ITS2-00000000-APKA1.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	160947100_2_ITS2	160947100_2_ITS2	SRP094940	2016-12-12T10:04:00Z	1
SRR5098333	AMPLICON	600	8330400	PRJNA356769	SAMN06126587	Metagenome or environmental	4479754	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2009	public	"fastq,run.zq,sra"	"s3,ncbi,gs"	"ncbi.public,s3.us-east-1,gs.US"	SRX2415118	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	158802708_2_ITS2-00000000-APKA1.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	158802708_2_ITS2	158802708_2_ITS2	SRP094940	2016-12-12T10:05:00Z	1
SRR5098334	AMPLICON	545	6343255	PRJNA356769	SAMN06126821	Metagenome or environmental	3042710	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2009	public	"fastq,sra,run.zq"	"ncbi,gs,s3"	"ncbi.public,gs.US,s3.us-east-1"	SRX2415119	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	246515023_1_18S.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	246515023_1_18S	246515023_1_18S	SRP094940	2016-12-12T10:04:00Z	1
SRR5098335	AMPLICON	545	1054030	PRJNA356769	SAMN06126615	Metagenome or environmental	571683	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2009	public	"run.zq,fastq,sra"	"s3,ncbi,gs"	"gs.US,ncbi.public,s3.us-east-1"	SRX2415120	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	159207311_2_18S.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	159207311_2_18S	159207311_2_18S	SRP094940	2016-12-12T10:04:00Z	1
SRR5098336	AMPLICON	600	1800	PRJNA356769	SAMN06126908	Metagenome or environmental	80216	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2009	public	"sra,fastq,run.zq"	"s3,gs,ncbi"	"ncbi.public,s3.us-east-1,gs.US"	SRX2415121	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	809635352_1_ITS2-00000000-APKA1.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	809635352_1_ITS2	809635352_1_ITS2	SRP094940	2016-12-12T10:04:00Z	1
SRR5098337	AMPLICON	545	24338065	PRJNA356769	SAMN06126874	Metagenome or environmental	11302422	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"fastq,sra,run.zq"	"s3,ncbi,gs"	"s3.us-east-1,gs.US,ncbi.public"	SRX2415122	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	536137189_3_18S.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	536137189_3_18S	536137189_3_18S	SRP094940	2016-12-12T10:05:00Z	1
SRR5098338	AMPLICON	600	5400	PRJNA356769	SAMN06126864	Metagenome or environmental	82083	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"run.zq,fastq,sra"	"s3,gs,ncbi"	"ncbi.public,gs.US,s3.us-east-1"	SRX2415123	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	492786515_3_ITS2-00000000-APKA1.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	492786515_3_ITS2	492786515_3_ITS2	SRP094940	2016-12-12T10:04:00Z	1
SRR5098339	AMPLICON	600	3213000	PRJNA356769	SAMN06126766	Metagenome or environmental	1802896	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2010	public	"run.zq,sra,fastq"	"s3,gs,ncbi"	"s3.us-east-1,ncbi.public,gs.US"	SRX2415124	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	160947100_3_ITS2-00000000-APKA1.Ayvaz	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	160947100_3_ITS2	160947100_3_ITS2	SRP094940	2016-12-12T10:05:00Z	1
SRR5098340	AMPLICON	600	4357200	PRJNA356769	SAMN06126675	Metagenome or environmental	1680787	ALKEK CENTER FOR METAGENOMICS AND MICROBIOME RESEARCH	2009	public	"sra,run.zq,fastq"	"s3,gs,ncbi"	"gs.US,s3.us-east-1,ncbi.public"	SRX2415125	USA	North America	"USA: Houston\, Texas"	Homo sapiens	Illumina MiSeq	29.7104 N 95.3962 W	160016515_1_ITS2-00000000-AGBB2.Ayvaz.p240	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2017-12-04T00:00:00Z	160016515_1_ITS2	160016515_1_ITS2	SRP094940	2016-12-12T10:05:00Z	1
